,rouge1,rouge2,rougeL,f1,sas,bertscore
39,0.24,0.04,0.15,0.12,0.5146488,0.96
40,0.15,0.05,0.15,0.17,0.3645747,0.95
41,0.25,0.05,0.19,0.13,0.7647218,0.96
42,0.49,0.3,0.41,0.47,0.6119581,0.97
43,0.21,0.07,0.15,0.1,0.53734416,0.92
44,0.39,0.14,0.28,0.33,0.59659004,0.98
45,0.33,0.1,0.19,0.23,0.18737058,0.96
46,0.21,0.09,0.17,0.13,0.64621,0.91
47,0.23,0.07,0.13,0.11,0.5645932,0.92
48,0.31,0.21,0.24,0.26,0.50575215,0.97
49,0.4,0.26,0.37,0.31,0.6471174,0.97
50,0.38,0.03,0.2,0.17,0.5781181,0.96
51,0.06,0.0,0.05,0.05,0.42102253,0.84
52,0.18,0.06,0.16,0.11,0.54589343,0.89
53,0.27,0.04,0.16,0.11,0.5770712,0.96
54,0.41,0.09,0.18,0.15,0.58966386,0.97
55,0.27,0.05,0.2,0.12,0.5763387,0.93
56,0.52,0.22,0.28,0.21,0.7395168,0.96
57,0.22,0.02,0.16,0.18,0.22768877,0.95
58,0.43,0.12,0.25,0.17,0.5489653,0.97
59,0.35,0.08,0.2,0.13,0.6323371,0.98
60,0.19,0.02,0.15,0.11,0.43373865,0.96
61,0.24,0.03,0.18,0.17,0.41824922,0.95
62,0.33,0.13,0.23,0.28,0.32722187,0.96
63,0.23,0.02,0.16,0.16,0.31137478,0.95
64,0.42,0.09,0.22,0.17,0.630082,0.98
65,0.66,0.5,0.53,0.35,0.59047395,0.98
66,0.02,0.0,0.02,0.02,0.5198261,0.66
67,0.29,0.11,0.16,0.18,0.4300247,0.97
68,0.28,0.07,0.18,0.12,0.54036415,0.94
69,0.3,0.06,0.21,0.15,0.6897911,0.95
70,0.52,0.42,0.52,0.47,0.444153,0.98
71,0.4,0.11,0.23,0.24,0.5042183,0.95
72,0.41,0.08,0.25,0.25,0.56740373,0.97
73,0.71,0.62,0.61,0.54,0.6802997,0.98
74,0.34,0.05,0.18,0.17,0.59925514,0.96
75,0.11,0.01,0.09,0.07,0.3625691,0.88
76,0.31,0.15,0.21,0.12,0.65791464,0.96
77,0.58,0.36,0.37,0.28,0.66519827,0.97
78,0.52,0.42,0.42,0.3,0.62140405,0.96
79,0.73,0.64,0.65,0.55,0.77464676,0.98
80,0.29,0.04,0.17,0.12,0.5251699,0.97
81,0.41,0.2,0.22,0.28,0.7074895,0.96
82,0.35,0.08,0.18,0.18,0.57851815,0.95
83,0.07,0.0,0.05,0.04,0.4432016,0.86
84,0.21,0.02,0.11,0.12,0.3917294,0.95
85,0.52,0.28,0.35,0.28,0.669659,0.98
86,0.11,0.01,0.09,0.08,0.53122044,0.91
87,0.2,0.13,0.16,0.16,0.6670591,0.88
88,0.41,0.25,0.28,0.27,0.5985048,0.95
89,0.36,0.14,0.2,0.13,0.570174,0.94
90,0.32,0.18,0.22,0.2,0.51365674,0.94
91,0.44,0.34,0.38,0.24,0.70255923,0.93
92,0.31,0.08,0.17,0.2,0.42649537,0.96
93,0.27,0.04,0.15,0.17,0.696494,0.95
94,0.21,0.07,0.14,0.09,0.5461008,0.92
95,0.37,0.16,0.2,0.21,0.3900226,0.95
96,0.1,0.03,0.09,0.07,0.5944455,0.9
97,0.06,0.01,0.04,0.04,0.500193,0.86
98,0.38,0.1,0.25,0.19,0.59350985,0.97
99,0.38,0.14,0.27,0.16,0.6958794,0.94
100,0.43,0.16,0.27,0.17,0.62599385,0.97
101,0.37,0.2,0.19,0.17,0.53390175,0.93
102,0.3,0.1,0.17,0.1,0.6939913,0.94
103,0.27,0.04,0.13,0.18,0.31196105,0.97
104,0.29,0.03,0.17,0.12,0.5224244,0.91
105,0.31,0.03,0.18,0.1,0.57880044,0.96
106,0.03,0.0,0.03,0.0,0.35154328,0.81
107,0.33,0.04,0.17,0.15,0.52359587,0.98
108,0.26,0.07,0.13,0.1,0.5678816,0.97
109,0.38,0.09,0.2,0.11,0.6656559,0.98
110,0.27,0.07,0.18,0.14,0.5205172,0.91
111,0.33,0.05,0.14,0.12,0.5860338,0.97
112,0.21,0.07,0.19,0.14,0.37553725,0.96
113,0.38,0.16,0.24,0.25,0.5027541,0.97
114,0.22,0.1,0.15,0.13,0.6077066,0.93
115,0.29,0.07,0.19,0.18,0.50922245,0.91
116,0.57,0.43,0.39,0.3,0.53569365,0.97
