,palabra,sinonimos
98,administración local,"['administracion local', 'autoridad local', 'administración pública', 'administración del estado', 'gestion publica', 'administración publica', 'oficinas publicas', 'administracion pública', 'oficinas públicas', 'gestión pública', 'gestión publica', 'gestion pública', 'administraciones públicas', 'administracion del estado', 'administracion publica', 'administraciones publicas']"
99,tutela,"['tutela legal', 'derecho de familia', 'family law', 'derecho familiar', 'derecho de las familias']"
100,unidad de negocio,['unidad empresarial']
101,dirección,['direccion']
102,prescripción de la pena,"['rehabilitación', 'ejercicio de actuaciones judiciales', 'intervención del fiscal', 'acción penal', 'prescripción', 'normas de conducta']"
103,comisión,['puesta en servicio']
104,cometido,"['delegación', 'comisión', 'función']"
105,votación,"['voto electrónico', 'votación secreta', 'voto', 'voto por procuración', 'votación del presupuesto', 'papeleta de voto', 'última vuelta electoral']"
106,institución penitenciaria,"['prisión de alta seguridad', 'institución', 'institucion', 'institucional', 'instituciones']"
107,trabajador,"['empleado', 'miembro del personal', 'trabajo', 'empleo']"
108,capacidad profesional,['competencia profesional']
109,derecho laboral,"['derecho del trabajo', 'derecho']"
110,jornada completa,"['dedicación completa', 'jornada de trabajo', 'jornada laboral']"
111,accidente laboral,"['accidente de trabajo', 'accidentes del trabajo', 'accidentes de trabajo', 'accidente', 'probar con ejemplo', 'cobertura de riesgos de accidente', 'falacia dicto simpliciter', 'accidente falacia']"
112,condiciones de trabajo,"['cláusulas del contrato', 'condición']"
113,causas y efectos de la suspensión,['causa de la suspensión']
114,extinción del contrato por causas objetivas,"['despido objetivo', 'despido justificado', 'extinción del contrato', 'extinción de la relación laboral', 'despido']"
115,abandono del trabajo,"['absentismo laboral', 'ausencia de puesto de trabajo', 'trabajo', 'empleo']"
116,notario,"['notario público', 'fedatario público', 'notaria', 'secretario judicial', 'actuario']"
117,ámbito,"['scope', 'ámbito de una declaración', 'ámbito de validez', 'ámbito de validez de una declaración']"
118,actividad por cuenta ajena,"['actividad asalariada', 'actividad laboral']"
119,pensión,"['pensión (hospedaje)', 'posada secreta', 'casa de huéspedes']"
120,agente judicial,"['alguacil', 'secretario judicial', 'actuario']"
121,norma reglamentaria,"['norma legal', 'ley', 'ley marco', 'norma jurídica', 'reforma de la ley', 'ley constitutiva', 'recurso en interés de ley', 'redacción de la ley', 'ley aplicable', 'ley de patentes', 'propuesta de ley', 'rechazo de la ley', 'orden ministerial', 'infracción del código de tráfico', 'finura milesimal', 'interpretación judicial', 'norma', 'vigencia de la ley', 'comentario sobre un texto legislativo', 'ley electoral nacional', 'ley habilitante', 'violación de la ley', 'retroactividad']"
122,vehículo comercial,"['vehiculo comercial', 'comercio', 'pequeño comerciante']"
123,capacidad jurídica,"['incapacidad jurídica', 'capacidad juridica', 'personalidad jurídica']"
124,titular,"['titular del cargo', 'titular del derecho']"
125,gestión,"['management', 'administración']"
